settlement_name,osm_relation_id
Baranyaszentgyörgy,575363
Barbacs,1483315
Barcs,1368014
Barlahida,1356903
Barnag,1078455
Basal,575118
Baskó,1280978
Battonya,1026174
Batyk,1359792
Baté,1367859
Bazsi,1078625
Becsehely,1320772
Becske,1370282
Becskeháza,1317818
Becsvölgye,1356912
Bedegkér,1367972
Bedő,1444158
Bejcgyertyános,1131463
Bekecs,1439561
Bekölce,1415538
Belecska,1503221
Beled,1483467
Beleg,1367853
Belezna,1607227
Beloiannisz,1418517
Belsősárd,1360836
Belvárdgyula,575286
Benk,1456937
Bercel,1370504
Beregdaróc,1456942
Beregsurány,1456928
Berekböszörmény,1444157
Berekfürdő,1325377
Beremend,575282
Berente,1428421
Beret,1317780
Berettyóújfalu,1444181
Berhida,1078551
Berkenye,1401469
Berkesd,575227
Berkesz,1453530
Bernecebaráti,1360848
Berzence,1367850
Berzék,1440885
Besence,575126
Besenyszög,1325341
Besenyőd,1447642
Besenyőtelek,1418121
Besnyő,1418514
Beszterec,1453516
Bezedek,575353
Bezenye,1492743
Bezeréd,1359712
Bezi,1483308
Biatorbágy,113461
Bicske,1380010
Bicsérd,575284
Bihardancsháza,1405227
Biharkeresztes,1444159
Biharnagybajom,1405224
Bihartorda,1405228
Biharugra,1026153
Bikal,575389
Bikács,1403026
Biri,1447638
Birján,575391
Bisse,575248
Boba,1132229
Bocfölde,1358051
Boconád,1418105
Bocska,1358076
Bocskaikert,1407075
Boda,575158
Bodajk,1369091
Bodmér,1321961
Bodolyabér,575185
Bodonhely,1440740
Bodony,1401776
Bodorfa,1078585
Bodrog,1367974
Bodroghalom,1317363
Bodrogkeresztúr,1433788
Bodrogkisfalud,1433786
Bodrogolaszi,1432107
Bogdása,575305
Bogyiszló,1493765
Bogyoszló,1483291
Bogács,1418454
Bogád,575182
Bogádmindszent,575281
Bojt,1444160
Bokod,1027810
Bokor,1370299
Boldog,1418240
Boldogasszonyfa,575322
Boldogkőváralja,1280991
Boldogkőújfalu,1280999
Boldva,1317793
Bolhás,1367838
Bolhó,1367861
Boncodfölde,1357103
Bonnya,1368097
Bonyhád,1501376
Bonyhádvarasd,1501366
Bordány,1025108
Borgáta,1132235
Borjád,575311
Borota,1130349
Borsfa,1320822
Borsodbóta,1428546
Borsodgeszt,1418452
Borsodivánka,1418112
Borsodnádasd,1415540
Borsodszentgyörgy,1426684
Borsodszirák,1317834
Borsosberény,1402556
Borszörcsök,1078435
Borzavár,1078569
Bosta,575203
Botpalád,1452464
Botykapeterd,575112
Bozsok,1131565
Bozzai,1131659
Bucsa,1026191
Bucsu,1131694
Bucsuta,1320811
Budajenő,113477
Budakalász,216158
Budakeszi,113473
Budapest,1244004
Budaörs,113463
Bugac,1130399
Bugacpusztaháza,1130417
Bugyi,214780
Buj,1453509
Buják,1370503
Buzsák,1367932
Bábolna,1027802
Bábonymegyer,1367905
Bácsalmás,1130314
Bácsbokod,1130400
Bácsborsód,1130427
Bácsszentgyörgy,1130410
Bácsszőlős,1130321
Bágyogszovát,1480088
Bálványos,1367844
Bánd,1078565
Bánfa,575114
Bánhorváti,1428678
Bánk,1322028
Bánokszentgyörgy,1320824
Bánréve,1428540
Bár,575119
Bárdudvarnok,1368056
Bárna,1372111
Bársonyos,1027783
Báránd,1405223
Báta,1501294
Bátaapáti,1501288
Bátaszék,1501286
Bátmonostor,1130322
Bátonyterenye,1417377
Bátor,1418158
Bátorliget,1452131
Bátya,1130422
Bázakerettye,1320821
Béb,1078449
Békás,1078495
Békés,1026148
Békéscsaba,1026172
Békésszentandrás,1026164
Békéssámson,1026186
Bélapátfalva,1418229
Bélavár,1367897
Bélmegyer,1026200
Bénye,1323375
Bér,1370514
Bérbaltavár,1131358
Bócsa,1130375
Bódvalenke,1317815
Bódvarákó,1317801
Bódvaszilas,1317767
Bókaháza,1359594
Bóly,575176
Bózsva,1431967
Böde,1315858
Bödeháza,1311722
Bögöt,1131462
Bögöte,1131316
Böhönye,1367944
Bököny,1447633
Bölcske,1407268
Börcs,1492764
Börzönce,1320816
Búcsúszentlászló,1358053
Bük,1131486
Bükkaranyos,1440881
Bükkmogyorósd,1415533
Bükkszenterzsébet,1415534
Bükkszentkereszt,1418455
Bükkszentmárton,1418231
Bükkszék,1415537
Bükkzsérc,1418449
Bükkábrány,1418304
Bükkösd,575124
Bürüs,575335
Büssü,1368069
Büttös,1317805
Bő,1131457
Bőcs,1440882
Bőny,1440654
Bőszénfa,1368002
Bősárkány,1483310
Cakóháza,1483299
Cece,1403107
Cegléd,1323439
Ceglédbercel,1323378
Celldömölk,1132249
Cered,1372101
Chernelházadamonya,1131435
Cibakháza,1319847
Cigánd,1317360
Cikó,1501301
Cirák,1430597
Csabacsűd,1026146
Csabaszabadi,1026170
Csabdi,1374982
Csabrendek,1078605
Csaholc,1452466
Csajág,1078628
Csanytelek,1025119
Csanádalberti,1025050
Csanádapáca,1026171
Csanádpalota,1025091
Csapi,1360006
Csapod,1458356
Csarnóta,575348
Csaroda,1456939
Csataszög,1315888
Csatka,1027809
Csatár,1358054
Csebény,575199
Csegöld,1452440
Csehbánya,1078580
Csehi,1131398
Csehimindszent,1131425
Csempeszkopács,1607308
Csemő,1319914
Csengele,1025044
Csenger,1456960
Csengersima,1452432
Csengerújfalu,1456963
Csengőd,1130362
Csenyéte,1317770
Csepreg,1131353
Cserdi,575174
Cserháthaláp,1370297
Cserhátsurány,1370295
Cserhátszentiván,1370532
Cserkeszőlő,1319860
Cserkút,575249
Csernely,1418230
Cserszegtomaj,1360481
Csertalakos,1356970
Csertő,575235
Cserénfa,1367935
Cserépfalu,1418450
Cserépváralja,1418316
Csesznek,1078440
Csesztreg,1415302
Csesztve,1370294
Csetény,1078461
Csibrák,1503716
Csikvánd,1440736
Csikéria,1130331
Csikóstőttős,1502212
Csincse,1418305
Csipkerek,1131454
Csitár,1370317
Csobaj,1439558
Csobád,1317760
Csobánka,216169
Csokonyavisonta,1367862
Csokvaomány,1607540
Csolnok,1027815
Csoma,1368013
Csombárd,1367879
Csomád,1390627
Csongrád,1025084
Csonkahegyhát,1315854
Csonkamindszent,575146
Csopak,1078599
Csorna,1483313
Csorvás,1026137
Csurgó,1368009
Csurgónagymarton,1368086
Csáfordjánosfa,1430599
Csákberény,1321966
Csákvár,1321963
Csákány,1368065
Csákánydoroszló,1131495
Csánig,1131428
Csány,1348113
Csányoszró,575159
Csárdaszállás,1026157
Császló,1452435
Császár,1027788
Császártöltés,1130420
Csátalja,1130413
Csávoly,1130334
Csécse,1370497
Csém,1027759
Csénye,1131371
Csép,1027758
Csépa,1319857
Csér,1430595
Csévharaszt,1356664
Csókakő,1369092
Csólyospálos,1130380
Csór,1361442
Csót,1078469
Csöde,1283487
Csögle,1078441
Csökmő,1413581
Csököly,1368088
Csömend,1368074
Csömödér,1314044
Csömör,1390432
Csönge,1132245
Csörnyeföld,1359839
Csörög,1375470
Csörötnek,1131330
Csősz,1402811
Csővár,1373919
Cák,1131570
Cégénydányád,1452460
Cún,575332
Dabas,1356707
Dabronc,1078536
Dabrony,1078639
Dad,1027818
Dalmand,1502214
Damak,1317790
Daraboshegy,1131400
Darnó,1452438
Darnózseli,1492793
Daruszentmiklós,1407269
Darvas,1413582
Darány,1368022
Debercsény,1370289
Debrecen,1444234
Debréte,1317787
Decs,1501285
Dejtár,1370318
Demecser,1453533
Demjén,1418128
Dencsháza,575361
Derecske,1443821
Derekegyház,1025056
Deszk,1025061
Detek,1317794
Detk,1418106
Devecser,1078595
Dinnyeberki,575217
Diósberény,1503222
Diósd,112433
Diósjenő,1360855
Dióskál,1358260
Diósviszló,575376
Doba,1078452
Doboz,1026216
Dobri,1359843
Dobronhegy,1357856
Domaháza,1428607
Domaszék,1025094
Dombegyház,1026135
Dombiratos,1026189
Dombrád,1453528
Dombóvár,1502215
Domony,1390691
Domoszló,1417308
Dormánd,1418123
Dorog,1027821
Dorogháza,1401774
Dozmat,1131693
Drágszél,1130351
Drávacsehi,575105
Drávacsepely,575220
Drávafok,575269
Drávagárdony,1367873
Drávaiványi,575362
Drávakeresztúr,575330
Drávapalkonya,575110
Drávapiski,575347
Drávaszabolcs,575188
Drávaszerdahely,575134
Drávasztára,575231
Drávatamási,1367952
Drégelypalánk,1360847
Dubicsány,1428436
Dudar,1078432
Duka,1132251
Dunaalmás,1027793
Dunabogdány,216165
Dunaegyháza,1130369
Dunafalva,1130368
Dunaföldvár,1407270
Dunaharaszti,222340
Dunakeszi,214932
Dunakiliti,1492740
Dunapataj,1130421
Dunaremete,1491439
Dunaszeg,1492787
Dunaszekcső,575368
Dunaszentbenedek,1130339
Dunaszentgyörgy,1493087
Dunaszentmiklós,1027799
Dunaszentpál,1492788
Dunasziget,1492744
Dunatetétlen,1130426
Dunavarsány,222342
Dunavecse,1130430
Dunaújváros,1420733
Dusnok,1130401
Dág,1027830
Dáka,1078602
Dámóc,1317361
Dánszentmiklós,1323259
Dány,1379823
Dávod,1130423
Dédestapolcsány,1428680
Dég,1403020
Délegyháza,222343
Dénesfa,1430602
Dévaványa,1026138
Dóc,1025073
Döbröce,1359793
Döbrököz,1503714
Döbrönte,1078517
Döbörhegy,1131424
Döge,1453526
Dömsöd,222347
Dömös,1027819
Dör,1483296
Dörgicse,1078638
Döröske,1131331
Dötk,1359704
Dövény,1418040
Dúzs,1503715
Ebergőc,1458345
Ebes,1405226
Ecseg,1370519
Ecsegfalva,1026215
Ecseny,1367997
Ecser,1385591
Ecséd,1417676
Edde,1368077
Edelény,1317800
Edve,1483293
Eger,1418156
Egeralja,1078473
Egeraracsa,1358259
Egerbakta,1418155
Egerbocs,1415528
Egercsehi,1415542
Egerfarmos,1418127
Egerlövő,1418115
Egerszalók,1418154
Egerszólát,1418157
Egervár,1357191
Egervölgy,1131431
Egerág,575256
Egyed,1480087
Egyek,1607464
Egyházasdengeleg,1372515
Egyházasfalu,1458351
Egyházasgerge,1371942
Egyházasharaszti,575169
Egyházashetye,1132238
Egyházashollós,1131312
Egyházaskesző,1078499
Egyházaskozár,575260
Egyházasrádóc,1131414
Elek,1026177
Ellend,575338
Előszállás,1407266
Emőd,1418312
Encs,1317840
Encsencs,1447714
Endrefalva,1370515
Endrőc,575211
Enese,1492765
Enying,1458080
Eperjes,1025066
Eperjeske,1456917
Eplény,1078459
Epöl,1027775
Ercsi,1418513
Erdőbénye,1432109
Erdőhorváti,1432102
Erdőkertes,1390626
Erdőkövesd,1415539
Erdőkürt,1372513
Erdősmecske,575349
Erdősmárok,575201
Erdőtarcsa,1372516
Erdőtelek,1418120
Erk,1323525
Erzsébet,575359
Eszteregnye,1607243
Esztergom,1027785
Esztergályhorváti,1358257
Esztár,1443815
Ete,1027800
Etes,1370511
Etyek,1370213
Fadd,1493764
Fajsz,1130435
Fancsal,1317759
Farkasgyepű,1078430
Farkaslyuk,1428606
Farmos,1323437
Farád,1483309
Fazekasboda,575267
Fedémes,1415535
Fegyvernek,1325337
Fehérgyarmat,1452434
Fehértó,1483300
Fehérvárcsurgó,1361433
Feked,575163
Feketeerdő,1492742
Felcsút,1370214
Feldebrő,1418107
Felgyő,1025068
Felpéc,1440745
Felsőberecki,1317269
Felsőcsatár,1131663
Felsődobsza,1440933
Felsőegerszeg,575144
Felsőgagy,1317804
Felsőjánosfa,1131461
Felsőkelecsény,1418039
Felsőlajos,1130425
Felsőmarác,1131487
Felsőmocsolád,1367966
Felsőnyárád,1428425
Felsőnyék,1458082
Felsőnána,1501374
Felsőpakony,214782
Felsőpetény,1322027
Felsőpáhok,1359602
Felsőrajk,1358261
Felsőregmec,1432028
Felsőszenterzsébet,1311783
Felsőszentiván,1130327
Felsőszentmárton,575309
Felsőszölnök,1131488
Felsőtelekes,1418041
Felsőtold,1370521
Felsőtárkány,1418232
Felsővadász,1391022
Felsőzsolca,1440897
Felsőörs,1078527
Fenyőfő,1440707
Ferencszállás,1025070
Fertőboz,1491337
Fertőd,1483474
Fertőendréd,1483464
Fertőhomok,1483475
Fertőrákos,1491336
Fertőszentmiklós,1483461
Fertőszéplak,1483463
Fiad,1367882
Filkeháza,1431960
Fityeház,1320770
Foktő,1130414
Folyás,1431869
Fony,1280997
Fonyód,1367922
Fonó,1368059
Forráskút,1025045
Forró,1317842
Fulókércs,1317812
Furta,1444155
Fábiánháza,1452139
Fábiánsebestyén,1025099
Fácánkert,1493763
Fáj,1317819
Fényeslitke,1453525
Fót,214931
Földes,1405214
Földeák,1025117
Füle,1458114
Fülesd,1452482
Fülpösdaróc,1452446
Fülöp,1447720
Fülöpháza,1130395
Fülöpjakab,1130374
Fülöpszállás,1130418
Fürged,1503203
Füzesabony,1418125
Füzesgyarmat,1026150
Füzér,1431968
Füzérkajata,1431965
Füzérkomlós,1431964
Füzérradvány,1432029
Főnyed,1368094
Fűzvölgy,1320818
Gacsály,1452488
Gadna,1391028
Gadács,1368020
Gadány,1367918
Gagyapáti,1317810
Gagybátor,1391025
Gagyvendégi,1391030
Galambok,1360005
Galgaguta,1370529
Galgagyörk,1375463
Galgahévíz,1390979
Galgamácsa,1375467
Galvács,1317766
Gamás,1367960
Ganna,1078577
Gara,1130385
Garabonc,1599348
Garadna,1317775
Garbolc,1452467
Garáb,1370505
Garé,575178
Gasztony,1131502
Gecse,1078564
Gelej,1418298
Gellénháza,1356901
Gelse,1358082
Gelsesziget,1358074
Gelénes,1456930
Gemzse,1452609
Gencsapáti,1131676
Gerde,575117
Gerendás,1026211
Geresdlak,575290
Gerjen,1493088
Gersekarát,1131492
Gerényes,575103
Geszt,1026199
Gesztely,1439554
Geszteréd,1447640
Gibárt,1317757
Gic,1078556
Gige,1367860
Gilvánfa,575228
Girincs,1440865
Golop,1440936
Gomba,1330551
Gombosszeg,1356904
Gordisa,575245
Gosztola,1311799
Grábóc,1501302
Gulács,1452469
Gutorfölde,1356975
Gyalóka,1333868
Gyanógeregye,1131671
Gyarmat,1440743
Gyenesdiás,1360485
Gyepükaján,1078610
Gyermely,1027825
Gyomaendrőd,1026166
Gyugy,1368081
Gyula,1026161
Gyulaháza,1452612
Gyulaj,1503713
Gyulakeszi,1078480
Gyál,1385739
Gyékényes,1368005
Gyód,575280
Gyóró,1430596
Gyömrő,1385399
Gyömöre,1440735
Gyöngyfa,575273
Gyöngyös,1417491
Gyöngyösfalu,1131575
Gyöngyöshalász,1417492
Gyöngyösmellék,575385
Gyöngyösoroszi,1417365
Gyöngyöspata,1417419
Gyöngyössolymos,1417482
Gyöngyöstarján,1417420
Gyönk,1503224
Györe,1501360
Györgytarló,1453497
Györköny,1403025
Gyúró,1370219
Gyügye,1452441
Gyüre,1453876
Győr,1440627
Győrasszonyfa,1440651
Győrladamér,1492789
Győrszemere,1440741
Győrság,1440708
Győrsövényház,1492766
Győrtelek,1452145
Győrvár,1131364
Győrzámoly,1492794
Győröcske,1456931
Győrújbarát,1440631
Győrújfalu,1440630
Gyűrűs,1359850
Gáborján,1443819
Gáborjánháza,1311724
Gádoros,1026156
Gálosfa,1367886
Gánt,1321964
Gárdony,1418516
Gátér,1130415
Gávavencsellő,1453499
Géberjén,1452437
Géderlak,1130343
Gégény,1453529
Gérce,1131505
Gétye,1358262
Gógánfa,1078491
Gór,1131362
Göd,214933
Gödre,575106
Gödöllő,1392595
Gölle,1367985
Gömörszőlős,1418045
Gönc,1280989
Göncruszka,1280985
Gönyű,1440652
Görbeháza,1431873
Görcsöny,575392
Görcsönydoboka,575198
Görgeteg,1367968
Gősfa,1357200
Hagyárosbörönd,1357104
Hahót,1358264
Hajdúbagos,1443825
Hajdúböszörmény,1407076
Hajdúdorog,1599032
Hajdúhadház,1607467
Hajdúnánás,1431872
Hajdúszoboszló,1405218
Hajdúszovát,1405217
Hajdúsámson,1444232
Hajmás,1368004
Hajmáskér,1078555
Hajós,1130311
Halastó,1131503
Halimba,1078489
Halmaj,1440929
Halmajugra,1417485
Halogy,1131392
Halászi,1491444
Halásztelek,222330
Hangony,1428608
Hangács,1317785
Hantos,1420597
Harasztifalu,1131478
Harc,1501284
Harka,1491338
Harkakötöny,1130340
Harkány,575224
Harsány,1440884
Harta,1130342
Hatvan,1418333
Hedrehely,1368007
Hegyesd,1078493
Hegyeshalom,1492745
Hegyfalu,1131469
Hegyháthodász,1131443
Hegyhátmaróc,575350
Hegyhátszentjakab,1131449
Hegyhátszentmárton,1131382
Hegyhátszentpéter,1131389
Hegyhátsál,1131409
Hegykő,1483477
Hegymagas,1078505
Hegymeg,1317792
Hegyszentmárton,575357
Hejce,1280980
Hejőbába,1418300
Hejőkeresztúr,1440866
Hejőkürt,1418301
Hejőpapi,1418296
Hejőszalonta,1418315
Helesfa,575098
Helvécia,1130312
Hencida,1443820
Hencse,1368078
Herceghalom,113474
Hercegkút,1432105
Hercegszántó,1130310
Herencsény,1370304
Herend,1078591
Heresznye,1367941
Hermánszeg,1452447
Hernyék,1360837
Hernád,1356708
Hernádbűd,1317835
Hernádcéce,1280986
Hernádkak,1607473
Hernádkércs,1440931
Hernádnémeti,1607472
Hernádpetri,1317791
Hernádszentandrás,1317769
Hernádszurdok,1280982
Hernádvécse,1317838
Heréd,1372511
Hetefejércse,1452468
Hetes,1367998
Hetvehely,575294
Hetyefő,1078494
Heves,1323522
Hevesaranyos,1415527
Hevesvezekény,1323512
Hidas,575283
Hidasnémeti,1280975
Hidegkút,1078589
Hidegség,1491339
Hidvégardó,1317765
Himesháza,575148
Himod,1483466
Hirics,575379
Hobol,575382
Hodász,1452140
Hollád,1367875
Hollóháza,1431961
Hollókő,1370537
Homokbödöge,1078650
Homokkomárom,1320815
Homokmégy,1130345
Homokszentgyörgy,1368100
Homorúd,575135
Homrogd,1391177
Hont,1360850
Horpács,1370288
Hort,1417680
Hortobágy,1418268
Horváthertelend,575369
Horvátlövő,1131661
Horvátzsidány,1131574
Hosszúhetény,575244
Hosszúpereszteg,1131474
Hosszúpályi,1443909
Hosszúvíz,1368067
Hosszúvölgy,1320809
Hosztót,1078621
Hottó,1357855
Hugyag,1370316
Hunya,1026213
Hunyadfalva,1273057
Husztót,575127
Hács,1368011
Háromfa,1367948
Háromhuta,1431962
Hárskút,1078583
Hásságy,575296
Hédervár,1492786
Héhalom,1372517
Héreg,1027770
Hét,1428442
Hévíz,1360478
Hévízgyörk,1390977
Hódmezővásárhely,1025072
Hövej,1483471
Hőgyész,1503269
Ibafa,575331
Iborfia,1356907
Ibrány,1453498
Igal,1368042
Igar,1403027
Igrici,1418302
Iharos,1368021
Iharosberény,1367871
Ikervár,1131490
Iklad,1390692
Iklanberény,1131506
Iklódbördőce,1314050
Ikrény,1440624
Iliny,1370296
Ilk,1456926
Illocska,575225
Imola,1418032
Imrehegy,1130347
Inke,1368010
Ináncs,1317806
Inárcs,1356712
Ipacsfa,575257
Ipolydamásd,1370262
Ipolyszög,1370320
Ipolytarnóc,1371937
Ipolytölgyes,1360854
Ipolyvece,1370314
Iregszemcse,1503201
Irota,1317836
Isaszeg,1390282
Ispánk,1131420
Istenmezeje,1415529
Istvándi,1367921
Iszkaszentgyörgy,1361447
Iszkáz,1078615
Isztimér,1369090
Ivád,1401773
Iván,1430601
Ivánbattyán,575393
Ivánc,1131360
Iváncsa,1418518
Ivándárda,575345
Izmény,1501368
Izsák,1130360
Izsófalva,1428424
Jakabszállás,1130346
Jenő,1361444
Jobaháza,1483316
Jobbágyi,1370531
Juta,1367929
Jágónak,1502211
Ják,1131670
Jákfa,1131451
Jákfalva,1418044
Jákó,1367988
Jánd,1452451
Jánkmajtis,1452430
Jánoshalma,1130366
Jánoshida,1323441
Jánosháza,1132233
Jánossomorja,1491422
Járdánháza,1415525
Jármi,1452124
Jásd,1078575
Jászalsószentgyörgy,1348118
Jászapáti,1323514
Jászberény,1348116
Jászboldogháza,1323440
Jászdózsa,1607385
Jászfelsőszentgyörgy,1323456
Jászfényszaru,1347281
Jászivány,1323513
Jászjákóhalma,1323457
Jászkarajenő,1415301
Jászkisér,1323516
Jászladány,1273054
Jászszentandrás,1323510
Jászszentlászló,1130323
Jásztelek,1323455
Jászágó,1347280
Jászárokszállás,1348115
Jéke,1453878
Jósvafő,1317788
Kaba,1405216
Kacorlak,1320798
Kacsóta,575320
Kadarkút,1367891
Kajdacs,1493089
Kajárpéc,1440744
Kajászó,1370247
Kakasd,1501289
Kakucs,1356709
Kalaznó,1501370
Kallósd,1359713
Kalocsa,1130407
Kamond,1078532
Kamut,1026195
Kapolcs,1078562
Kapoly,1367951
Kaposfő,1367950
Kaposgyarmat,1367963
Kaposhomok,1368012
Kaposkeresztúr,1367856
Kaposmérő,1368016
Kapospula,1502213
Kaposszekcső,1502210
Kaposszerdahely,1367979
Kaposvár,1368050
Kaposújlak,1367914
Kapuvár,1483473
Karakó,1132232
Karakószörcsök,1078617
Karancsalja,1370530
Karancsberény,1371945
Karancskeszi,1371946
Karancslapujtő,1371939
Karancsság,1370501
Karcag,1325376
Karcsa,1317359
Kardos,1026190
Kardoskút,1026187
Karmacs,1360487
Karos,1317351
Kartal,1402643
Karácsond,1417483
Karád,1367881
Kaskantyú,1130333
Kastélyosdombó,1368102
Kaszaper,1026197
Kaszó,1367880
Katafa,1131455
Katymár,1130405
Katádfa,575279
Kazincbarcika,1428651
Kazsok,1367955
Kazár,1372091
Kecel,1130372
Kecskemét,1130433
Kecskéd,1027773
Kehidakustány,1359715
Kelebia,1130316
Kelemér,1428440
Kelevíz,1368019
Keléd,1132228
Kemecse,1453517
Kemence,1360852
Kemendollár,1359701
Kemeneshőgyész,1078538
Kemeneskápolna,1132242
Kemenesmagasi,1132223
Kemenesmihályfa,1132226
Kemenespálfa,1132225
Kemenesszentmárton,1132248
Kemenesszentpéter,1078557
Kemenessömjén,1132250
Kemestaródfa,1131329
Kemse,575210
Keménfa,1283488
Kenderes,1325334
Kengyel,1273071
Kenyeri,1132230
Kenéz,1131315
Kenézlő,1453507
Kercaszomor,1131509
Kercseliget,1368095
Kerecsend,1418126
Kerecseny,1358083
Kerekegyháza,1130431
Kerekharaszt,1418334
Kereki,1368003
Kerepes,1388598
Keresztéte,1317758
Kerkabarabás,1356878
Kerkafalva,1311786
Kerkakutas,1283486
Kerkaszentkirály,1359842
Kerkateskánd,1314047
Kerkáskápolna,1131408
Kerta,1078512
Kertészsziget,1026206
Kerékteleki,1027753
Keszeg,1373917
Kesznyéten,1440872
Keszthely,1360484
Kesztölc,1027816
Keszü,575184
Keszőhidegkút,1503226
Kevermes,1026162
Kilimán,1358089
Kimle,1491440
Kincsesbánya,1361441
Királd,1428544
Királyegyháza,575107
Királyhegyes,1025111
Királyszentistván,1078483
Kisapostag,1420735
Kisapáti,1078622
Kisar,1452148
Kisasszond,1367975
Kisasszonyfa,575394
Kisbabot,1440733
Kisbajcs,1440628
Kisbajom,1367908
Kisberzseny,1078437
Kisberény,1367852
Kisbeszterce,575172
Kisbodak,1491443
Kisbucsa,1358055
Kisbudmér,575265
Kisbágyon,1370525
Kisbárapáti,1368000
Kisbárkány,1370526
Kisbér,1027779
Kiscsehi,1359845
Kiscsécs,1440869
Kiscsősz,1078586
Kisdobsza,575300
Kisdombegyház,1026192
Kisdorog,1501375
Kisdér,575321
Kisecset,1370293
Kisfalud,1483472
Kisfüzes,1415523
Kisgyalán,1367870
Kisgyőr,1418453
Kisgörbő,1606365
Kishajmás,575157
Kisharsány,575186
Kishartyán,1370516
Kisherend,575291
Kishuta,1431963
Kishódos,1452439
Kisigmánd,1027826
Kisjakabfalva,575173
Kiskassa,575315
Kiskinizs,1440926
Kiskorpád,1368062
Kiskunfélegyháza,1130390
Kiskunhalas,1130419
Kiskunlacháza,222346
Kiskunmajsa,1130387
Kiskutas,1357108
Kisköre,1325123
Kiskőrös,1130355
Kislippó,575374
Kisláng,1402810
Kisléta,1447636
